"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000184221",-6.27228751768086,0.454853402814079,4.84271526064324,0.027763147792156,1
"ENSG00000228775",-5.95218887513913,-1.96805835399442,4.83841733767272,0.0278324273519157,1
"ENSG00000154767",-1.44811009585809,5.33362436996798,4.83691047313312,0.0278567595351657,1
"ENSG00000107077",-1.61851134391416,4.60990644005263,4.82628043250936,0.028029038746365,1
"ENSG00000240435",-6.15384846238499,-1.82755512037263,4.81949441947635,0.0281395979282575,1
"ENSG00000011405",-2.26809459738702,4.20775218383889,4.78082491153354,0.0287783317401813,1
"ENSG00000232282",-8.5173150008233,0.122805684132241,4.78049414986572,0.0287838598200002,1
"ENSG00000254489",-5.93129904323422,-1.9809059329299,4.77250152807318,0.0289177786531817,1
"ENSG00000237017",-7.03324593662898,-1.15992148381943,4.77081351616201,0.0289461446920909,1
"ENSG00000175189",-7.52448663225977,1.19743262354239,4.76991276880802,0.0289612930707113,1
"ENSG00000232059",-6.57200571994702,-1.52113320779874,4.75521690185676,0.0292096112581066,1
"ENSG00000153904",-1.31798138856983,5.70883346988768,4.7545164088123,0.0292215028104048,1
"ENSG00000286505",-6.71781150704337,-1.42350312944849,4.74850373070076,0.0293237814977187,1
"ENSG00000149742",-5.57473665345998,0.676635293952848,4.74189192647113,0.0294366821839134,1
"ENSG00000229913",-8.48040317117867,0.0887294669004508,4.73970442246055,0.029474134784621,1
"ENSG00000171488",-5.43758317520248,0.543370846074635,4.73450416408941,0.0295633686235928,1
"ENSG00000228061",-5.99601916883684,-1.93621021245421,4.72040999162858,0.0298066355053266,1
"ENSG00000143473",-8.46158700018704,0.0713849020647815,4.71897697904233,0.0298314859846103,1
"ENSG00000092377",-6.63504685632474,0.804991669186739,4.71350539406759,0.0299265698132342,1
"ENSG00000147010",-2.28736244432968,3.69916602716377,4.70849935517984,0.0300138401460621,1
"ENSG00000187123",-2.52931238442299,3.42783794158582,4.70003761088067,0.0301619573472638,1
"ENSG00000080986",-6.61856006938649,1.40718508788269,4.69993313293653,0.030163790917603,1
"ENSG00000135436",-5.49235818122673,0.599310776118445,4.68506922115293,0.030425837721885,1
"ENSG00000239183",-5.92797749134721,-1.98775800052759,4.67701271662519,0.0305688623503844,1
"ENSG00000268240",-8.34396832405409,-0.0271256339149579,4.67491282230185,0.0306062561503143,1
"ENSG00000277968",-6.13529548474222,-1.83931278813273,4.64820813044752,0.0310859808008384,1
"ENSG00000250614",-6.13529548474222,-1.83931278813273,4.64820813044752,0.0310859808008384,1
"ENSG00000140470",-6.13529548474222,-1.83931278813273,4.64820813044752,0.0310859808008384,1
"ENSG00000142627",-1.20448855753545,5.93225985945387,4.64610615155304,0.0311240722431882,1
